20_Hit Timestamp,04_Navigation Channel,03_Content Title,Unique Pageviews,Pageviews,Page Value
2021-04-25T22:53:08.885+08:00,美食旅遊,嘉義美食X國民特色排隊小吃,0,17,0
2021-04-24T00:06:11.811+08:00,時尚美妝,2021未來媽媽/廢財闖天關/巡天者等...華劇女主角教你如何從女孩穿到女人~可不能錯過的！走出劇外的超女人味穿搭,0,9,0
2021-05-12T09:16:02.962+08:00,寰宇綜合,特殊經歷：聯合國，我為什麼選擇離開了你,9,9,9.527926777777777
2021-01-14T12:23:33.647+08:00,美食旅遊,【TOP10南機場夜市必吃小吃】台北最強夜市懶人包｜阿男麻油雞、山內雞肉、好記刀削麵、八棟圓仔湯、王功鮮蚵,0,9,0
2021-01-18T14:34:12.533+08:00,娛樂遊戲,《柏捷頓家族》（Bridgerton）小說第四集「情聖的戀愛」,0,9,0
2021-06-30T12:02:32.723-07:00,生活休閒,馬鈴薯蛋沙拉做法 ，超容易電鍋料理 - 職業觀光客 LISA,9,9,0
2021-02-01T08:14:37.226+08:00,親子育兒,單親媽小資幸福心法／收入不多，如何將日子過得有質感？ @ 焦糖綠玫瑰 caramelgreen,9,9,2.858378
2021-01-18T15:31:52.181+08:00,娛樂遊戲,《柏捷頓家族：名門韻事》（Bridgerton）帥氣男主角是誰？,9,9,3.8111706666666665
2021-01-14T11:44:00.914+08:00,娛樂遊戲,BL耽美推文 | 《朕的後宮起火了》作者：龍柒【古代+短篇耽美+帝王受VS權臣攻】 – starryeagle | 蒼野之鷹：看小說、聊書、聊投資,9,9,0
2021-01-20T15:43:19.544+08:00,親子育兒,必看！婆媳大戰永無寧日？　老人家都有的教養盲點！ @ 焦糖綠玫瑰 caramelgreen :: 痞客邦 ::,9,9,11.433512111111112
2021-01-11T11:47:12.124+08:00,娛樂遊戲,老媽駕到Call Your Mother(2021冬季新劇) @ 美劇盒小品｜美劇 歐美影集  簡介時間表,9,9,1.9055853333333332
2021-01-15T07:32:47.176+08:00,生活休閒,《Summer Breeze》韓景察 @ 天空.過客.一個人,0,9,0
2021-06-30T12:02:36.770-07:00,生活休閒,鮮蝦粉絲煲食譜 ，電鍋料理輕鬆上菜，新手料理推薦 - 職業觀光客 LISA,9,9,0
2021-05-18T00:15:35.119+08:00,娛樂遊戲,古言重生 | 《病嬌折我爛桃花（重生）》作者：柚一只梨 |【5星原創言情小說推薦心得文】| 雙向暗戀言情 | 有肉渣 | 雙重生言情 | 甜寵言情 | 古代言情 | 姐弟戀言情 | 男主是病嬌 【微】 – starryeagle | 蒼野之鷹：看小說、聊書、聊投資,9,9,0.9527926666666666
2021-01-15T12:40:22.548+08:00,美食旅遊,【台中親子景點】台中草莓園｜友田珍鄉有機農場～有機無毒高架採草莓、採蕃茄，還有美味草莓酒香腸，網美打卡景點 – 史努比遊樂園,9,9,5.716756111111111
2021-05-14T14:57:10.947+08:00,金融理財,方經理之外匯車學堂@2020年20201年最熱門的外匯車是賓士BENZ?BMW?噓~~~不能說的找車秘訣偷偷公開!!!,9,9,3.8111706666666665
2021-07-31T22:48:49.35+08:00,金融理財,2021年6月紀錄｜3步驟部落格日流量破2萬8，經營部落格變成我的志業 | 跟著菜鳥人妻搬去匈牙利！,9,9,0
2021-01-14T11:37:42.984+08:00,3c科技,Netflix 有老司機影片？原來是 Netflav 免費觀看謎片網站 | 綠色工廠,9,9,0
2021-01-08T09:53:19.552+08:00,寰宇綜合,別再說 Apple TV+ 沒東西看！蘋果去年共推出了 42 部新劇 | iPhone News 愛瘋了,9,9,0
2021-07-12T22:41:58.115+08:00,娛樂遊戲,BG書單總表 | 各類型的主角是綠茶的小說推薦：綠茶女主文+綠茶男主文,9,9,5.716756111111111
2021-07-01T12:27:06.429+08:00,娛樂遊戲,《Sweet Tooth：鹿角男孩》評價與心得，有些故事從頭開始，你的故事從此開始,0,9,0
2021-05-05T19:04:50.102+08:00,娛樂遊戲,「為什麼對我這麼冷淡？」不愛了？還是為了未來打拼？12星座男變冷淡原因，處女、巨蟹請放心,9,9,0.9527926666666666
2021-07-25T12:07:27.864+08:00,3c科技,Canva教學大補帖｜3分鐘完成精美圖片設計-社群人必備工具,9,9,0
